Date,Price
"Jan 03, 2010",540.75
"Jan 10, 2010",568.13
"Jan 17, 2010",509.88
"Jan 24, 2010",473.13
"Feb 07, 2010",474.13
"Feb 14, 2010",485.63
"Feb 21, 2010",488.88
"Feb 28, 2010",519.13
"Mar 07, 2010",493.13
"Mar 14, 2010",485.13
"Mar 21, 2010",484.75
"Mar 28, 2010",464.88
"Apr 04, 2010",456.13
"Apr 11, 2010",489.5
"Apr 18, 2010",507
"May 02, 2010",508.38
"May 09, 2010",471.88
"May 16, 2010",472.13
"May 23, 2010",457.38
"May 30, 2010",435.38
"Jun 06, 2010",440.13
"Jun 20, 2010",476.5
"Jun 27, 2010",503.38
"Jul 04, 2010",537.88
"Jul 11, 2010",588.25
"Jul 18, 2010",595.75
"Jul 25, 2010",661.38
"Aug 08, 2010",701.13
"Aug 15, 2010",711.25
"Aug 22, 2010",693.38
"Aug 29, 2010",741.75
"Sep 05, 2010",737.38
"Sep 12, 2010",738.25
"Sep 19, 2010",719.88
"Sep 26, 2010",654.38
"Oct 03, 2010",719.38
"Oct 10, 2010",702.63
"Oct 17, 2010",670.13
"Oct 24, 2010",715.75
"Nov 07, 2010",729.13
"Nov 14, 2010",668.88
"Nov 21, 2010",682.25
"Nov 28, 2010",686.63
"Dec 05, 2010",775.88
"Dec 19, 2010",757.5
"Dec 26, 2010",782.63
"Jan 02, 2011",792.63
"Jan 09, 2011",772.13
"Jan 16, 2011",824.75
"Jan 30, 2011",824.63
"Feb 06, 2011",854.5
"Feb 13, 2011",867.63
"Feb 20, 2011",856.38
"Feb 27, 2011",813.63
"Mar 06, 2011",717.38
"Mar 13, 2011",724.88
"Mar 20, 2011",734.75
"Mar 27, 2011",760.38
"Apr 03, 2011",799.38
"Apr 10, 2011",744.5
"Apr 17, 2011",834.25
"Apr 24, 2011",804.13
"May 08, 2011",729.13
"May 15, 2011",806.63
"May 29, 2011",772.88
"Jun 05, 2011",759.88
"Jun 12, 2011",671.88
"Jun 19, 2011",631.63
"Jul 03, 2011",650
"Jul 10, 2011",695.38
"Jul 17, 2011",693.38
"Jul 24, 2011",672.88
"Jul 31, 2011",677.75
"Aug 07, 2011",703.63
"Aug 14, 2011",731.75
"Aug 21, 2011",762
"Sep 04, 2011",729.13
"Sep 11, 2011",693.38
"Sep 18, 2011",642.63
"Sep 25, 2011",606
"Oct 02, 2011",608.88
"Oct 09, 2011",623.88
"Oct 16, 2011",630.63
"Oct 23, 2011",646.13
"Nov 06, 2011",635.38
"Nov 13, 2011",618
"Nov 20, 2011",596.63
"Nov 27, 2011",574
"Dec 04, 2011",596.13
"Dec 18, 2011",622
"Jan 08, 2012",624.63
"Jan 15, 2012",601.63
"Jan 22, 2012",610.63
"Jan 29, 2012",647.25
"Feb 05, 2012",660.38
"Feb 12, 2012",629.88
"Feb 19, 2012",644.13
"Feb 26, 2012",642.25
"Mar 04, 2012",640.88
"Mar 11, 2012",672.13
"Mar 18, 2012",654.63
"Mar 25, 2012",658.88
"Apr 08, 2012",622.88
"Apr 15, 2012",616.88
"Apr 22, 2012",649.38
"Apr 29, 2012",608.88
"May 06, 2012",596.63
"May 13, 2012",694.88
"May 27, 2012",613.25
"Jun 03, 2012",630.13
"Jun 10, 2012",613.88
"Jun 17, 2012",674.63
"Jun 24, 2012",758.88
"Jul 08, 2012",846.63
"Jul 15, 2012",943.88
"Jul 22, 2012",898.75
"Jul 29, 2012",891.13
"Aug 05, 2012",887
"Aug 12, 2012",873.88
"Aug 19, 2012",867.38
"Sep 02, 2012",905.5
"Sep 09, 2012",925.88
"Sep 16, 2012",898.88
"Sep 23, 2012",899.38
"Sep 30, 2012",856.88
"Oct 07, 2012",856.88
"Oct 14, 2012",871.13
"Oct 21, 2012",864
"Oct 28, 2012",871.38
"Aug 10, 2014",551.63
"Aug 17, 2014",549.25
"Aug 24, 2014",563.38
"Aug 31, 2014",535.38
"Sep 07, 2014",502.5
"Sep 14, 2014",474
"Sep 21, 2014",474.88
"Sep 28, 2014",486.13
"Oct 05, 2014",498.75
"Oct 12, 2014",515.88
"Oct 19, 2014",518.5
"Oct 26, 2014",531.25
"Nov 02, 2014",514.5
